Site Name,Altitude (metres),EU Site ID,Easting,Environment Type,Government Region,Latitude,Longitude,Northing,Site Address,Site Code,UK-AIR ID
Brighton Roadside,10, GB0693A,531297, Urban Traffic, South East,50.82354,-0.137281,104320,   Brighton ,BRIT, UKA00367
Brighton Roadside PM10,10, GB0845A,531322, Urban Traffic, South East,50.8235,-0.136924,104316,   Brighton ,BRT2, UKA00458
Bristol Centre,15, GB0585A,359408, Urban Background, South West,51.45718,-2.585622,173296,   Bristol ,BRIS, UKA00221
Bristol Old Market,17, GB0639A,359553, Urban Traffic, South West,51.45603,-2.583519,173167,   Bristol ,BRS2, UKA00262
Bristol St Paul's, 15, GB0884A,359492, Urban Background, South West,51.462839,-2.584482,173925,   Bristol ,BRS8, UKA00494
Bristol Temple Way, Not available, GB1072A,359523, Urban Traffic, South West,51.457968,-2.583975,173383,   Bristol ,BR11, UKA00631
Bromley Roadside,50, GB0675A,540602, Urban Traffic, Greater London,51.4071,0.020128,169500,   Bromley ,BY1, UKA00345
Bury Roadside,50, GB0652A,380904, Urban Traffic, North West & Merseyside,53.53911,-2.289611,404757,   Bury ,BURY, UKA00322
Bury Whitefield Roadside, 102, GB1040A,380637, Urban Traffic, North West & Merseyside,53.559029,-2.293772,406974, Not available,BURW, UKA00598
Bush Estate, 180, GB0033R,324629, Rural Background, Central Scotland,55.862281,-3.205782,663891,   Bush Estate ,BUSH, UKA00128
Cambridge Roadside, 19, GB0726A,545279, Urban Traffic, Eastern,52.20237,0.124456,258142,   Cambridge ,CAM, UKA00396
Camden Kerbside, 50, GB0636A,526633, Urban Traffic, Greater London,51.54421,-0.175269,184390,   London ,CA1, UKA00259
Cannock A5190 Roadside, 182, GB1064A,401394, Urban Traffic, West Midlands,52.687298,-1.980821,309957, Cannock A5190 Roadside  Cannock WS12 3HQ,CANK, UKA00623
Canterbury, 35, GB0737A,616187, Urban Background, South East,51.27399,1.098061,157319,   Canterbury ,CANT, UKA00424
Cardiff Centre, 12, GB0580A,318416, Urban Background, South Wales,51.48178,-3.17625,176526,   Cardiff ,CARD, UKA00217
Carlisle Roadside, 11, GB0925A,339469, Urban Traffic, North West & Merseyside,54.894834,-2.945307,555976, Not available,CARL, UKA00526
Charlton Mackrell, 54, GB0957A,352196, Rural Background, South West,51.05625,-2.68345,128768,   Charlton ,MACK, UKA00537
Chatham Roadside, 80, GB1007A,577437, Urban Traffic, South East,51.374264,0.54797,166993,   Chatham ,CHAT, UKA00553
Chepstow A48, 67, GB0921A,353126, Urban Traffic, South Wales,51.638094,-2.678731,193473, Hardwick Hill Chepstow Chepstow ,CHP, UKA00515
Chesterfield,86, GB0929A,437906, Urban Background, East Midlands,53.230583,-1.433611,370543,   Chesterfield ,CHS6, UKA00530
Chesterfield Loundsley Green, 98, GB1046A,436470, Urban Background, East Midlands,53.244131,-1.454946,372039, Not available,CHLG, UKA00604
Chesterfield Roadside, 96, GB0928A,436348, Urban Traffic, East Midlands,53.231722,-1.456944,370658,   Chesterfield ,CHS7, UKA00529
Chilbolton Observatory, 78, GB1055R,439390, Rural Background, South East,51.149617,-1.438228,139078, Not available,CHBO, UKA00614
Christchurch Barrack Road, 3, GB1065A,415559, Urban Traffic, South West,50.735454,-1.780888,92894, Not available,CHBR, UKA00624
Coventry Allesley, 98, GB1034A,430011, Urban Background, West Midlands,52.411563,-1.560228,279376,   Coventry CV5 9HS,COAL, UKA00592
Coventry Binley Road, Not available, GB1075A,434785, Urban Traffic, West Midlands,52.407708,-1.490082,278978, Grass Verge within Gosford Green Binley Road Coventry ,COBR, UKA00634
Coventry Centre,100, GB0655A,432601, Urban Background, West Midlands,52.41345,-1.522133,279602,   Coventry ,COV2, UKA00327
Coventry Memorial Park,95, GB0739A,432786, Urban Background, West Midlands,52.394399,-1.519612,277484,   Coventry ,COV3, UKA00427
Cwmbran, 71, GB0744A,330436, Urban Background, South Wales,51.6538,-3.006953,195481,   Cardiff ,CWMB, UKA00436
Derby St Alkmund's Way, Not available, GB1071A,435763, Urban Traffic, East Midlands,52.922983,-1.469507,336306, Bass's Recreation Ground St Alkmund's Way Derby ,DESA, UKA00630
Derry,32, GB0673A,59371, Urban Background, Northern Ireland,55.001225,-7.329115,580403,   Derry ,DERY, UKA00343
Derry Rosemount, 54, GB1060A,59253, Urban Background, Northern Ireland,55.002818,-7.331179,580590," Horticultural Training Centre Brook Park, Rosemount Derry BT48 0HH",DERR, UKA00619
Doncaster A630 Cleveland Street, 15, GB1054A,457247, Urban Traffic, Yorkshire & Humberside,53.518868,-1.138073,402812, Cleveland Street Doncaster  ,DCST, UKA00612
Dumbarton Roadside, 3, GB1008A,240235, Urban Traffic, Central Scotland,55.943197,-4.55973,675199,   Dumbarton ,DUMB, UKA00555
Dumfries, 10, GB0740A,297020, Urban Traffic, Scottish Borders,55.070033,-3.614233,576254,   Dumfries ,DUMF, UKA00428
Dundee Mains Loan, Not available, GB1085A,340971, Urban Background, North East Scotland,56.475434,-2.959861,731892, North of Sports Ground Mains Loan Dundee ,DCC1, UKA00643
Ealing Horn Lane, 30, GB1033A,520434, Urban Traffic, Greater London,51.51895,-0.265617,181429, Horn Lane Ealing London W3 0BU,EA8, UKA00591
Eastbourne, 7, GB1005A,560155, Urban Background, South East,50.805778,0.271611,103150,   Eastbourne BN22 9PP,EB, UKA00546
Edinburgh Centre,40, GB0581A,325428, Urban Background, Central Scotland,55.95197,-3.195775,673861,   Edinburgh ,ED, UKA00218
Edinburgh St Leonards, 81, GB0839A,326264, Urban Background, Central Scotland,55.945589,-3.182186,673136,   Edingurgh ,ED3, UKA00454
Eskdalemuir, 255, GB0002R,323551, Rural Background, Scottish Borders,55.31531,-3.206111,603022,   Eskdalemuir ,ESK, UKA00130
Exeter Roadside, 43, GB0640A,291929, Urban Traffic, South West,50.725083,-3.532465,92838,   Exeter ,EX, UKA00263
Fort William, 5, GB0885A,210850, Suburban Background, Highland,56.82266,-5.101102,774419,   Fort William ,FW, UKA00495
Glasgow Centre,5, GB0641A,258942, Urban Background, Central Scotland,55.85773,-4.255161,665027,   Glasgow ,GLA3, UKA00264
Glasgow City Chambers,15, GB0452A,259528, Urban Background, Central Scotland,55.860414,-4.245959,665307,   Glasgow ,GLA, UKA00156
Glasgow Great Western Road, Not available, GB1035A,258007, Urban Traffic, Central Scotland,55.872038,-4.270936,666651, Not available,GGWR, UKA00593
Glasgow High Street, 35, GB1044A,260014, Urban Traffic, Central Scotland,55.860936,-4.238214,665349,   Glasgow ,GHSR, UKA00602
Glasgow Kerbside, 10, GB0657A,258714, Urban Traffic, Central Scotland,55.85917,-4.258889,665195,   Glasgow ,GLA4, UKA00336
Glasgow Townhead, 40, GB1028A,259693, Urban Background, Central Scotland,55.865782,-4.243631,665899, Not available,GLKP, UKA00576
Glazebury, 21, GB0034R,368755, Rural Background, North West & Merseyside,53.46008,-2.472056,396030,   Glazebury ,GLAZ, UKA00170
Grangemouth, 4, GB0735A,293830, Urban Industrial, Central Scotland,56.010319,-3.704399,681021,   Grangemouth ,GRAN, UKA00420
Grangemouth Moray, 4, GB0997A,293437, Urban Industrial, Central Scotland,56.013142,-3.710833,681345,   Grangemouth ,GRA2, UKA00544
Great Dun Fell,847, GB0035R,371034, Rural Background, North West & Merseyside,54.684233,-2.450799,532225,   Great Dun Fell ,GDF, UKA00134
Greenock A8 Roadside, 9, GB1062A,229332, Urban Traffic, Central Scotland,55.944079,-4.734421,675715, Not available,GKA8, UKA00621
Hafod-yr-ynys Roadside, Not available, GB1038A,321727, Urban Traffic, South Wales,51.680579,-3.133508,198588, Not available,CAE6, UKA00596
Haringey Roadside, 10, GB0637A,533894, Urban Traffic, Greater London,51.5993,-0.068218,190707,   London ,HG1, UKA00260
Hartlepool St Abbs Walk, Not available, GB1087A,451429, Urban Background, North East,54.683242,-1.203838,532312, Grass Area adjacent to St Abbs Walk Sheerness Grove Hartlepool TS24 7NE,HSAW, UKA00645
Harwell,126, GB0036R,446859, Rural Background, South East,51.571078,-1.325283,186016,   Harwell ,HAR, UKA00047
High Muffles, 267, GB0014R,477569, Rural Background, Yorkshire & Humberside,54.334944,-0.80855,493919,   High Muffles ,HM, UKA00169
Honiton, 122, GB1017A,315749, Urban Background, South West,50.792287,-3.196702,99874, Not available,HONI, UKA00566
Horley, 40, GB0916A,528206, Suburban Industrial, South East,51.165865,-0.167734,142331,   Horley RH6,HORE, UKA00511
Hounslow Roadside,15, GB0685A,517502, Urban Traffic, Greater London,51.48965,-0.308975,178100,   Hounslow ,HS1, UKA00358
Hove Roadside,13, GB0686A,528960, Urban Traffic, South East,50.82778,-0.170294,104733,   Hove ,HOVE, UKA00359
Hull Centre,5, GB0596A,509684, Urban Background, Yorkshire & Humberside,53.74479,-0.338322,428883,   Hull ,HULL, UKA00233
Hull Freetown, 4, GB0776A,509482, Urban Background, Yorkshire & Humberside,53.74878,-0.341222,429322,   Hull ,HUL2, UKA00450
Hull Holderness Road, 4, GB1042A,511794, Urban Traffic, Yorkshire & Humberside,53.758971,-0.305749,430511, St Columba's Church Holderness Road Hull HU8 8PA,HULR, UKA00600
Immingham Woodlands Avenue, Not available, GB1089A,518277, Urban Background, Yorkshire & Humberside,53.619241,-0.213324,415116, Junction of Woodlands Avenue and Oaklands Road Immingham  DN40 2JA,IMGM, UKA00647
Inverness, 1, GB0742A,265709, Urban Traffic, Highland,57.481308,-4.241451,845669,   Inverness ,INV2, UKA00434
Ladybower, 420, GB0037R,416585, Rural Background, East Midlands,53.40337,-1.752006,389645,   Ladybower ,LB, UKA00171
Leamington Spa, 175, GB0643A,431943, Urban Background, West Midlands,52.28881,-1.533119,265733,   Leamington Spa ,LEAM, UKA00265
Leamington Spa Rugby Road, 66, GB1018A,431271, Urban Traffic, West Midlands,52.294884,-1.542911,266404, Not available,LEAR, UKA00564
Leeds Centre, 78, GB0584A,429967, Urban Background, Yorkshire & Humberside,53.80378,-1.546472,434260,   Leeds ,LEED, UKA00222
Leeds Headingley Kerbside, 85, GB0926A,427987, Urban Traffic, Yorkshire & Humberside,53.819972,-1.576361,436049,   Leeds ,LED6, UKA00527
Leicester A594 Roadside, 59, GB1051A,459361, Urban Traffic, East Midlands,52.638677,-1.124228,304908, Not available,LEIR, UKA00609
Leicester Centre,65, GB0597A,458777, Urban Background, East Midlands,52.631348,-1.133006,304085,   Leicester ,LEIC, UKA00234
Leicester University, 83, GB1026A,459178, Urban Background, East Midlands,52.619823,-1.127311,302808, Not available,LECU, UKA00573
Leominster, 75, GB0861A,349774, Suburban Background, West Midlands,52.22174,-2.736665,258426,   Leominster ,LEOM, UKA00489
Lerwick, 80, GB0881A,445351, Rural Background, Highland,60.13922,-1.185319,1139690, Met Office Observatory Lerwick  ,LERW, UKA00486
Lincoln Canwick Road, 7, GB1014A,497964, Urban Traffic, East Midlands,53.221373,-0.534189,370372, Not available,LIN3, UKA00561
Lincoln Roadside,17, GB0676A,497700, Urban Traffic, East Midlands,53.22889,-0.537895,371203,   Lincoln ,LINC, UKA00346
Liverpool Centre,20, GB0594A,334934, Urban Background, North West & Merseyside,53.40845,-2.980249,390630,   Liverpool ,LIVR, UKA00226
Liverpool Queen's Drive Roadside,32, GB0922A,336172, Urban Traffic, North West & Merseyside,53.446944,-2.9625,394896,   Liverpool ,LV6, UKA00517
Liverpool Speke, 26, GB0777A,343887, Urban Industrial, North West & Merseyside,53.34633,-2.844333,383603,   Liverpool ,LVP, UKA00247
London A3 Roadside,32, GB0659A,518991, Urban Traffic, Greater London,51.37348,-0.291853,165209,   London ,A3, UKA00338
London Bexley, 13, GB0608A,551859, Suburban Background, Greater London,51.46603,0.184806,176381,   London ,BEX, UKA00238
London Bloomsbury, 20, GB0566A,530119, Urban Background, Greater London,51.52229,-0.125889,182039,   London ,CLL2, UKA00211
London Brent,25, GB0849A,519513, Urban Background, Greater London,51.589769,-0.276223,189287,   London ,BREN, UKA00059
London Bridge Place,20, GB0536A,529102, Urban Background, Greater London,51.49521,-0.141655,179000,   London ,BRI, UKA00178
London Bromley,50, GB0697A,540519, Urban Traffic, Greater London,51.40555,0.018869,169325,   London ,BY2, UKA00373
London Cromwell Road,20, GB0206A,526402, Urban Traffic, Greater London,51.49492,-0.180564,178900,   London ,CRD, UKA00010
London Cromwell Road 2,20, GB0695A,526529, Urban Traffic, Greater London,51.495483,-0.178709,178966,   London ,CRD2, UKA00370
London Eltham, 60, GB0586A,543981, Suburban Background, Greater London,51.45258,0.070766,174655,   London ,LON6, UKA00230
London Hackney,20, GB0650A,534818, Urban Background, Greater London,51.55877,-0.056592,186221,   London ,HK4, UKA00318
London Haringey,30, GB0638A,529896, Urban Background, Greater London,51.58603,-0.126486,189126,   London ,HG2, UKA00261
London Haringey Priory Park South, 37, GB1024A,529987, Urban Background, Greater London,51.584128,-0.125254,188917, Not available,HG4, UKA00568
London Harlington, 35, GB0837A,508295, Urban Industrial, Greater London,51.48879,-0.441614,177800,   London ,HRL, UKA00472
London Harrow Stanmore, 79, GB0959A,517879, Urban Background, Greater London,51.617333,-0.298777,192316,   London ,HR3, UKA00540
London Hillingdon, 34, GB0642A,506941, Urban Background, Greater London,51.49633,-0.460861,178610,   London ,HIL, UKA00266
London Lewisham,20, GB0672A,537686, Urban Background, Greater London,51.44541,-0.020139,173683,   London ,LW1, UKA00342
London Marylebone Road, 35, GB0682A,528126, Urban Traffic, Greater London,51.52253,-0.154611,182015,   London ,MY1, UKA00315
London N. Kensington, 5, GB0620A,524045, Urban Background, Greater London,51.52105,-0.213492,181749,   London ,KC1, UKA00253
London Southwark,10, GB0656A,532238, Urban Background, Greater London,51.49055,-0.096667,178562,   London ,SK1, UKA00330
London Sutton,40, GB0621A,527802, Suburban Background, Greater London,51.36789,-0.165489,164800,   London ,SUT3, UKA00254
London Teddington,29, GB0644A,515545, Urban Background, Greater London,51.42099,-0.339647,170416,   London ,TED, UKA00267
London Teddington Bushy Park, 11, GB1025A,515120, Urban Background, Greater London,51.425286,-0.345606,170884,   London ,TED2, UKA00572
London Wandsworth,20, GB0622A,525770, Urban Background, Greater London,51.45696,-0.191164,174660,   London ,WA2, UKA00255
London Westminster, 5, GB0743A,529778, Urban Background, Greater London,51.49467,-0.131931,178957,   London ,HORS, UKA00435
Lough Navar, 130, GB0006R,17628, Rural Background, Northern Ireland,54.43951,-7.900328,520946,   Lough Navar ,LN, UKA00166
Lullington Heath, 125, GB0038R,553829, Rural Background, South East,50.7937,0.18125,101616,   Lullington Heath ,LH, UKA00152
Luton A505 Roadside, 136, GB1047A,505927, Urban Traffic, Eastern,51.892293,-0.46211,222644, Dunstable Road Luton  LU4 8QW,LUTR, UKA00605
Mace Head, 15, IE0031R,-125862, Rural Background, West Ireland,53.326444,-9.903917,410236, Not available,MH, UKA00167
Manchester Piccadilly, 45, GB0613A,384311, Urban Background, North West & Merseyside,53.48152,-2.237881,398337,   Manchester ,MAN3, UKA00248
Manchester Sharston, Not available, GB1058A,384181, Suburban Industrial, North West & Merseyside,53.371306,-2.239218,386076, Not available,MAHG, UKA00617
Manchester South,68, GB0649A,383910, Suburban Industrial, North West & Merseyside,53.369026,-2.24328,385823,   Manchester ,MAN4, UKA00313
Manchester Town Hall,90, GB0453A,383851, Urban Background, North West & Merseyside,53.4785,-2.2448,398003,   Manchester ,MAN, UKA00157
Market Harborough, 145, GB0838A,483340, Rural Background, East Midlands,52.554444,-0.772222,295886,   Market Harborough ,MKTH, UKA00463
Middlesbrough, 10, GB0583A,450471, Urban Industrial, North East,54.569297,-1.220874,519621,   Middlesbrough ,MID, UKA00220
Mold,114, GB0999A,323551, Suburban Background, North Wales,53.162306,-3.144889,363410,   Mold ,MOLD, UKA00552
Narberth, 160, GB0043R,214440, Rural Background, South Wales,51.781784,-4.691462,212663,   Narberth ,PEMB, UKA00323
Newcastle Centre, 45, GB0568A,425026, Urban Background, North East,54.97825,-1.610528,564918,   Newcastle ,NEWC, UKA00213
Newcastle Cradlewell Roadside, 42, GB0927A,425992, Urban Traffic, North East,54.986405,-1.595362,565831,   Newcastle  ,NCA3, UKA00528
Newport, 24, GB0962A,332410, Urban Background, South Wales,51.601203,-2.977281,189604,   Newport ,NPT3, UKA00380
Northampton,129, GB0738A,476112, Urban Background, East Midlands,52.27349,-0.885933,264511,   Northampton ,NTON, UKA00425
Northampton Kingsthorpe,128, GB1019A,476527, Urban Background, East Midlands,52.271886,-0.879898,264339, Not available,NTN3, UKA00567
Northampton PM10,129, GB0788A,476112, Urban Background, East Midlands,52.27349,-0.885933,264511,   Northampton ,NTO2, UKA00431
Northampton Spring Park, Not available, GB1073A,474022, Urban Background, East Midlands,52.272257,-0.916605,264342, Grass Verge Entrance of Spring Park Acre Lane Northampton ,NTN4, UKA00632
Norwich Centre,4, GB0684A,623077, Urban Background, Eastern,52.63203,1.295019,308906,   Norwich ,NOR2, UKA00355
Norwich Forum Roadside,25, GB0862A,622873, Urban Traffic, Eastern,52.62817,1.291714,308466,   Norwich ,NO10, UKA00485
Norwich Lakenfields, 36, GB0995A,623638, Urban Background, Eastern,52.614193,1.301976,306944,   Norwich ,NO12, UKA00549
Norwich Roadside,34, GB0678A,623401, Urban Traffic, Eastern,52.622,1.299064,307803,   Norwich ,NOR1, UKA00350
Nottingham Centre, 41, GB0646A,457440, Urban Background, East Midlands,52.95473,-1.146447,340047,   Nottingham ,NOTT, UKA00274
Nottingham Western Boulevard, Not available, GB1059A,454573, Urban Traffic, East Midlands,52.969377,-1.188851,341643, Not available,NWBV, UKA00618
Oldbury Birmingham Road, 151, GB1037A,399860, Urban Traffic, West Midlands,52.502436,-2.003497,289393, Birmingham Road Oldbury West Midlands B69 4HA ,BOLD, UKA00595
Oxford Centre Roadside, 60, GB0633A,451355, Urban Traffic, South East,51.751745,-1.257463,206155,   Oxford ,OX, UKA00258
Oxford St Ebbes, 58, GB0920A,451168, Urban Background, South East,51.744806,-1.260278,205382,   Oxford ,OX8, UKA00518
Peebles, 167, GB0998A,324815, Urban Background, Scottish Borders,55.657472,-3.196527,641088,   Peebles ,PEEB, UKA00551
Plymouth Centre, 18, GB0687A,247748, Urban Background, South West,50.37167,-4.142361,54614,   Plymouth ,PLYM, UKA00360
Plymouth Tavistock Road., Not available, GB1070A,248732, Urban Traffic, South West,50.411058,-4.130288,58968, Grass Verge 104 Tavistock Road Plymouth ,PLYR, UKA00629
Port Talbot,88, GB0651A,278027, Urban Industrial, South Wales,51.5798,-3.76169,188242,   Port Talbot ,PT, UKA00320
Port Talbot Margam, 5, GB0906A,277406, Urban Industrial, South Wales,51.58395,-3.770822,188719,   Port Talbot ,PT4, UKA00501
Portsmouth, 5, GB0733A,465695, Urban Background, South East,50.82881,-1.068583,103666,   Portsmouth ,PMTH, UKA00421
Preston, 40, GB0731A,355250, Urban Background, North West & Merseyside,53.76559,-2.680353,430131,   Preston ,PRES, UKA00408
Reading,42, GB0683A,472695, Urban Background, South East,51.45352,-0.95518,173244,   Reading ,READ, UKA00354
Reading London Road, 45, GB1061A,473721, Urban Traffic, South East,51.454896,-0.940382,173412, Not available,REA5, UKA00620
Reading New Town, 58, GB0840A,473468, Urban Background, South East,51.45309,-0.944067,173207,   Reading ,REA1, UKA00462
Redcar,4, GB0977A,459951, Suburban Background, North East,54.610735,-1.0733,524347,   Redcar ,REDC, UKA00351
Rochester Stoke, 14, GB0617A,583158, Rural Background, South East,51.45617,0.634889,176314,   Rochester ,ROCH, UKA00251
Rotherham Centre,35, GB0677A,442988, Urban Background, Yorkshire & Humberside,53.43186,-1.354444,392980,   Rotherham ,ROTH, UKA00349
Salford Eccles, 30, GB0660A,377925, Urban Background, North West & Merseyside,53.48481,-2.334139,398729,   Manchester ,ECCL, UKA00339
Saltash Callington Road, 65, GB1022A,241815, Urban Traffic, South West,50.411463,-4.227678,59216, Not available,SASH, UKA00569
Saltash Roadside,61, GB0955A,241634, Urban Traffic, South West,50.4131,-4.2303,59404, Not available,SALT, UKA00534
Sandwell Oldbury,147, GB0680A,398900, Urban Background, West Midlands,52.50431,-2.017629,289601,   Sandwell ,OLDB, UKA00352
Sandwell West Bromwich,172, GB0698A,400399, Urban Background, West Midlands,52.52062,-1.995556,291416,   Birmingham ,WBRO, UKA00374
Sandy Roadside, 22, GB0954A,516436, Urban Traffic, Eastern,52.132417,-0.300306,249597,   Sandy ,SDY, UKA00533
Scunthorpe,37, GB0690A,490592, Urban Industrial, Yorkshire & Humberside,53.58499,-0.633015,410691,   Scunthorpe ,SCUN, UKA00365
Scunthorpe Town, 36, GB0841A,490338, Urban Industrial, Yorkshire & Humberside,53.58634,-0.636811,410836,   Scunthorpe ,SCN2, UKA00381
Shaw Crompton Way, 193, GB1031A,393888, Urban Traffic, North West & Merseyside,53.579283,-2.093786,409192, Crompton Way   OL2 8AQ,CW, UKA00579
Sheffield Barnsley Road, 82, GB1063A,436276, Urban Traffic, Yorkshire & Humberside,53.40495,-1.455815,389930, Not available,SHBR, UKA00622
Sheffield Centre,35, GB0615A,435136, Urban Background, Yorkshire & Humberside,53.37772,-1.473306,386892,   Sheffield ,SHE2, UKA00250
Sheffield Devonshire Green, 89, GB1027A,434816, Urban Background, Yorkshire & Humberside,53.378622,-1.478096,386990, Not available,SHDG, UKA00575
Sheffield Tinsley, 90, GB0538A,440238, Urban Background, Yorkshire & Humberside,53.41058,-1.396139,390588,   Sheffield ,SHE, UKA00181
Sibton, 46, GB0039R,636276, Rural Background, Eastern,52.2944,1.463497,271902,   Sibton ,SIB, UKA00012
Somerton,55, GB0044R,348542, Rural Background, South West,51.03572,-2.735253,126520,   Somerton ,SOM, UKA00252
Southampton A33, 5, GB1056A,437809, Urban Traffic, South East,50.920265,-1.463484,113560, Not available,SA33, UKA00613
Southampton Centre, 7, GB0598A,442579, Urban Background, South East,50.90814,-1.395778,112248,   Southampton ,SOUT, UKA00235
Southend-on-Sea, 37, GB0728A,585823, Urban Background, Eastern,51.544206,0.678408,186212,   London ,SEND, UKA00409
Southwark A2 Old Kent Road, 10, GB1012A,534844, Urban Traffic, Greater London,51.480499,-0.05955,177512," A2, Old Kent Road, London   ",SK5, UKA00558
Southwark Roadside,10, GB0667A,534649, Urban Traffic, Greater London,51.48199,-0.0623,177673,   London ,SK2, UKA00340
St Helens Linkway, 32, GB1068A,350813, Urban Traffic, North West & Merseyside,53.451826,-2.742134,395264, Not available,SHLW, UKA00627
St Osyth, 8, GB0754A,610431, Rural Background, Eastern,51.77798,1.049031,213210,   St Osyth ,OSY, UKA00445
